2021-10-23;19:46:21;FBTP0621.NaE-last data 6131
2021-10-23;19:46:22;FBTP0621.NaE-last data 6132
2021-10-23;19:46:22;FBTP0621.NaE-last data 6133
2021-10-23;19:46:23;FBTP0621.NaE-last data 6134
2021-10-23;19:46:23;FBTP0621.NaE-last data 6135
2021-10-23;19:46:24;FBTP0621.NaE-last data 6136
2021-10-23;19:46:24;FBTP0621.NaE-last data 6137
2021-10-23;19:46:25;FBTP0621.NaE-last data 6138
2021-10-23;19:46:25;FBTP0621.NaE-last data 6139
2021-10-23;19:46:26;FBTP0621.NaE-last data 6140
2021-10-23;19:46:26;FBTP0621.NaE-last data 6141
2021-10-23;19:46:27;FBTP0621.NaE-last data 6142
2021-10-23;19:46:27;FBTP0621.NaE-last data 6143
2021-10-23;19:46:28;FBTP0621.NaE-last data 6144
2021-10-23;19:46:28;FBTP0621.NaE-last data 6145
2021-10-23;19:46:29;FBTP0621.NaE-last data 6146
2021-10-23;19:46:29;FBTP0621.NaE-last data 6147
2021-10-23;19:46:30;FBTP0621.NaE-last data 6148
2021-10-23;19:46:31;FBTP0621.NaE-last data 6149
2021-10-23;19:46:31;FBTP0621.NaE-last data 6150
2021-10-23;19:46:32;FBTP0621.NaE-last data 6151
2021-10-23;19:46:32;FBTP0621.NaE-last data 6152
2021-10-23;19:46:33;FBTP0621.NaE-last data 6153
2021-10-23;19:46:33;FBTP0621.NaE-last data 6154
2021-10-23;19:46:34;FBTP0621.NaE-last data 6155
2021-10-23;19:46:34;FBTP0621.NaE-last data 6156
2021-10-23;19:46:35;FBTP0621.NaE-last data 6157
2021-10-23;19:46:35;FBTP0621.NaE-last data 6158
2021-10-23;19:46:36;FBTP0621.NaE-last data 6159
2021-10-23;19:46:36;FBTP0621.NaE-last data 6160
2021-10-23;19:46:37;FBTP0621.NaE-last data 6161
2021-10-23;19:46:37;FBTP0621.NaE-last data 6162
2021-10-23;19:46:38;FBTP0621.NaE-last data 6163
2021-10-23;19:46:38;FBTP0621.NaE-last data 6164
2021-10-23;19:46:39;FBTP0621.NaE-last data 6165
2021-10-23;19:46:39;FBTP0621.NaE-last data 6166
2021-10-23;19:46:40;FBTP0621.NaE-last data 6167
2021-10-23;19:46:40;FBTP0621.NaE-last data 6168
2021-10-23;19:46:41;FBTP0621.NaE-last data 6169
2021-10-23;19:46:41;FBTP0621.NaE-last data 6170
2021-10-23;19:46:42;FBTP0621.NaE-last data 6171
2021-10-23;19:46:42;FBTP0621.NaE-last data 6172
2021-10-23;19:46:43;FBTP0621.NaE-last data 6173
2021-10-23;19:46:43;FBTP0621.NaE-last data 6174
2021-10-23;19:46:44;FBTP0621.NaE-last data 6175
2021-10-23;19:46:44;FBTP0621.NaE-last data 6176
2021-10-23;19:46:45;FBTP0621.NaE-last data 6177
2021-10-23;19:46:45;FBTP0621.NaE-last data 6178
2021-10-23;19:46:46;FBTP0621.NaE-last data 6179
2021-10-23;19:46:46;FBTP0621.NaE-last data 6180
2021-10-23;19:46:47;FBTP0621.NaE-last data 6181
2021-10-23;19:46:47;FBTP0621.NaE-last data 6182
2021-10-23;19:46:48;FBTP0621.NaE-last data 6183
2021-10-23;19:46:48;FBTP0621.NaE-last data 6184
2021-10-23;19:46:49;FBTP0621.NaE-last data 6185
2021-10-23;19:46:49;FBTP0621.NaE-last data 6186
2021-10-23;19:46:50;FBTP0621.NaE-last data 6187
2021-10-23;19:46:50;FBTP0621.NaE-last data 6188
2021-10-23;19:46:51;FBTP0621.NaE-last data 6189
2021-10-23;19:46:51;FBTP0621.NaE-last data 6190
2021-10-23;19:46:52;FBTP0621.NaE-last data 6191
2021-10-23;19:46:52;FBTP0621.NaE-last data 6192
2021-10-23;19:46:53;FBTP0621.NaE-last data 6193
2021-10-23;19:46:53;FBTP0621.NaE-last data 6194
2021-10-23;19:46:54;FBTP0621.NaE-last data 6195
2021-10-23;19:47:01;FBTP0621.NaE-last data 6209
2021-10-23;19:47:02;FBTP0621.NaE-last data 6210
2021-10-23;19:47:02;FBTP0621.NaE-last data 6211
2021-10-23;19:47:03;FBTP0621.NaE-last data 6212
2021-10-23;19:47:03;FBTP0621.NaE-last data 6213
2021-10-23;19:47:04;FBTP0621.NaE-last data 6214
2021-10-23;19:47:04;FBTP0621.NaE-last data 6215
2021-10-23;19:47:05;FBTP0621.NaE-last data 6216
2021-10-23;19:47:05;FBTP0621.NaE-last data 6217
2021-10-23;19:50:33;FBTP0621.NaE-last data 6625
2021-10-23;19:50:33;FBTP0621.NaE-last data 6626
2021-10-23;19:50:34;FBTP0621.NaE-last data 6627
2021-10-23;19:50:34;FBTP0621.NaE-last data 6628
2021-10-23;19:50:35;FBTP0621.NaE-last data 6629
2021-10-23;19:50:35;FBTP0621.NaE-last data 6630
2021-10-23;19:50:36;FBTP0621.NaE-last data 6631
2021-10-23;19:50:36;FBTP0621.NaE-last data 6632
2021-10-23;19:50:37;FBTP0621.NaE-last data 6633
2021-10-23;19:50:37;FBTP0621.NaE-last data 6634
2021-10-23;19:50:38;FBTP0621.NaE-last data 6635
2021-10-23;19:50:38;FBTP0621.NaE-last data 6636
2021-10-23;19:50:39;FBTP0621.NaE-last data 6637
2021-10-23;19:50:39;FBTP0621.NaE-last data 6638
2021-10-23;19:50:40;FBTP0621.NaE-last data 6639
2021-10-23;19:50:40;FBTP0621.NaE-last data 6640
2021-10-23;19:50:41;FBTP0621.NaE-last data 6641
2021-10-23;19:50:41;FBTP0621.NaE-last data 6642
2021-10-23;19:50:42;FBTP0621.NaE-last data 6643
2021-10-23;19:50:42;FBTP0621.NaE-last data 6644
2021-10-23;19:50:43;FBTP0621.NaE-last data 6645
2021-10-23;19:50:43;FBTP0621.NaE-last data 6646
2021-10-23;19:50:44;FBTP0621.NaE-last data 6647
2021-10-23;19:50:44;FBTP0621.NaE-last data 6648
2021-10-23;19:50:52;FBTP0621.NaE-last data 6649
2021-10-23;19:50:52;FBTP0621.NaE-last data 6650
2021-10-23;19:50:52;FBTP0621.NaE-last data 6651
2021-10-23;19:50:53;FBTP0621.NaE-last data 6652
2021-10-23;19:50:53;FBTP0621.NaE-last data 6653
2021-10-23;19:50:54;FBTP0621.NaE-last data 6654
2021-10-23;19:50:54;FBTP0621.NaE-last data 6655
2021-10-23;19:50:55;FBTP0621.NaE-last data 6656
2021-10-23;19:50:55;FBTP0621.NaE-last data 6657
2021-10-23;19:50:56;FBTP0621.NaE-last data 6658
2021-10-23;19:50:56;FBTP0621.NaE-last data 6659
2021-10-23;19:50:57;FBTP0621.NaE-last data 6660
2021-10-23;19:51:00;FBTP0621.NaE-last data 6661
2021-10-23;19:51:00;FBTP0621.NaE-last data 6662
2021-10-23;19:51:01;FBTP0621.NaE-last data 6663
2021-10-23;19:51:01;FBTP0621.NaE-last data 6664
2021-10-23;19:51:02;FBTP0621.NaE-last data 6665
2021-10-23;19:51:02;FBTP0621.NaE-last data 6666
2021-10-23;19:51:03;FBTP0621.NaE-last data 6667
2021-10-23;19:51:03;FBTP0621.NaE-last data 6668
2021-10-23;19:51:04;FBTP0621.NaE-last data 6669
2021-10-23;19:51:04;FBTP0621.NaE-last data 6670
2021-10-23;19:51:05;FBTP0621.NaE-last data 6671
2021-10-23;19:51:05;FBTP0621.NaE-last data 6672
2021-10-23;19:51:06;FBTP0621.NaE-last data 6673
2021-10-23;19:51:06;FBTP0621.NaE-last data 6674
2021-10-23;19:51:07;FBTP0621.NaE-last data 6675
2021-10-23;19:51:07;FBTP0621.NaE-last data 6676
2021-10-23;19:51:08;FBTP0621.NaE-last data 6677
2021-10-23;19:51:08;FBTP0621.NaE-last data 6678
2021-10-23;19:51:09;FBTP0621.NaE-last data 6679
2021-10-23;19:51:09;FBTP0621.NaE-last data 6680
2021-10-23;19:51:10;FBTP0621.NaE-last data 6681
2021-10-23;19:51:10;FBTP0621.NaE-last data 6682
2021-10-23;19:51:11;FBTP0621.NaE-last data 6683
2021-10-23;19:51:11;FBTP0621.NaE-last data 6684
2021-10-23;19:51:12;FBTP0621.NaE-last data 6685
2021-10-23;19:51:12;FBTP0621.NaE-last data 6686
2021-10-23;19:51:13;FBTP0621.NaE-last data 6687
2021-10-23;19:51:13;FBTP0621.NaE-last data 6688
2021-10-23;19:51:14;FBTP0621.NaE-last data 6689
2021-10-23;19:51:14;FBTP0621.NaE-last data 6689
2021-10-23;19:51:14;FBTP0621.NaE-last data 6690
2021-10-23;19:51:14;FBTP0621.NaE-last data 6690
2021-10-23;19:51:15;FBTP0621.NaE-last data 6691
2021-10-23;19:51:15;FBTP0621.NaE-last data 6691
2021-10-23;19:51:15;FBTP0621.NaE-last data 6692
2021-10-23;19:51:15;FBTP0621.NaE-last data 6692
2021-10-23;19:51:16;FBTP0621.NaE-last data 6693
2021-10-23;19:51:16;FBTP0621.NaE-last data 6693
2021-10-23;19:51:16;FBTP0621.NaE-last data 6694
2021-10-23;19:51:16;FBTP0621.NaE-last data 6694
2021-10-23;19:51:17;FBTP0621.NaE-last data 6695
2021-10-23;19:51:17;FBTP0621.NaE-last data 6695
2021-10-23;19:51:17;FBTP0621.NaE-last data 6696
2021-10-23;19:51:17;FBTP0621.NaE-last data 6696
2021-10-23;19:51:18;FBTP0621.NaE-last data 6697
2021-10-23;19:51:18;FBTP0621.NaE-last data 6697
2021-10-23;19:51:18;FBTP0621.NaE-last data 6698
2021-10-23;19:51:18;FBTP0621.NaE-last data 6698
2021-10-23;19:51:19;FBTP0621.NaE-last data 6699
2021-10-23;19:51:19;FBTP0621.NaE-last data 6699
2021-10-23;19:51:19;FBTP0621.NaE-last data 6700
2021-10-23;19:51:19;FBTP0621.NaE-last data 6700
2021-10-23;19:51:20;FBTP0621.NaE-last data 6701
2021-10-23;19:51:20;FBTP0621.NaE-last data 6701
2021-10-23;19:51:20;FBTP0621.NaE-last data 6702
2021-10-23;19:51:20;FBTP0621.NaE-last data 6702
2021-10-23;19:51:21;FBTP0621.NaE-last data 6703
2021-10-23;19:51:21;FBTP0621.NaE-last data 6703
2021-10-23;19:51:21;FBTP0621.NaE-last data 6704
2021-10-23;19:51:21;FBTP0621.NaE-last data 6704
2021-10-23;19:51:22;FBTP0621.NaE-last data 6705
2021-10-23;19:51:22;FBTP0621.NaE-last data 6705
2021-10-23;19:51:22;FBTP0621.NaE-last data 6706
2021-10-23;19:51:22;FBTP0621.NaE-last data 6706
2021-10-23;19:51:23;FBTP0621.NaE-last data 6707
2021-10-23;19:51:23;FBTP0621.NaE-last data 6707
2021-10-23;19:51:23;FBTP0621.NaE-last data 6707
2021-10-23;19:51:23;FBTP0621.NaE-last data 6708
2021-10-23;19:51:23;FBTP0621.NaE-last data 6708
2021-10-23;19:51:23;FBTP0621.NaE-last data 6708
2021-10-23;19:51:24;FBTP0621.NaE-last data 6709
2021-10-23;19:51:24;FBTP0621.NaE-last data 6709
2021-10-23;19:51:24;FBTP0621.NaE-last data 6709
2021-10-23;19:51:24;FBTP0621.NaE-last data 6710
2021-10-23;19:51:25;FBTP0621.NaE-last data 6710
2021-10-23;19:51:25;FBTP0621.NaE-last data 6710
2021-10-23;19:51:25;FBTP0621.NaE-last data 6711
2021-10-23;19:51:25;FBTP0621.NaE-last data 6711
2021-10-23;19:51:25;FBTP0621.NaE-last data 6711
2021-10-23;19:51:26;FBTP0621.NaE-last data 6712
2021-10-23;19:51:26;FBTP0621.NaE-last data 6712
2021-10-23;19:51:26;FBTP0621.NaE-last data 6712
2021-10-23;19:51:26;FBTP0621.NaE-last data 6713
2021-10-23;19:51:26;FBTP0621.NaE-last data 6713
2021-10-23;19:51:26;FBTP0621.NaE-last data 6713
2021-10-23;19:51:27;FBTP0621.NaE-last data 6714
2021-10-23;19:51:27;FBTP0621.NaE-last data 6714
2021-10-23;19:51:27;FBTP0621.NaE-last data 6714
2021-10-23;19:51:27;FBTP0621.NaE-last data 6715
2021-10-23;19:51:27;FBTP0621.NaE-last data 6715
2021-10-23;19:51:27;FBTP0621.NaE-last data 6715
2021-10-23;19:51:28;FBTP0621.NaE-last data 6716
2021-10-23;19:51:28;FBTP0621.NaE-last data 6716
2021-10-23;19:51:28;FBTP0621.NaE-last data 6716
2021-10-23;19:51:28;FBTP0621.NaE-last data 6717
2021-10-23;19:51:28;FBTP0621.NaE-last data 6717
2021-10-23;19:51:28;FBTP0621.NaE-last data 6717
2021-10-23;19:51:29;FBTP0621.NaE-last data 6718
2021-10-23;19:51:29;FBTP0621.NaE-last data 6718
2021-10-23;19:51:29;FBTP0621.NaE-last data 6718
2021-10-23;19:51:29;FBTP0621.NaE-last data 6719
2021-10-23;19:51:29;FBTP0621.NaE-last data 6719
2021-10-23;19:51:29;FBTP0621.NaE-last data 6719
2021-10-23;19:51:29;FBTP0621.NaE-last data 6719
2021-10-23;19:51:30;FBTP0621.NaE-last data 6720
2021-10-23;19:51:30;FBTP0621.NaE-last data 6720
2021-10-23;19:51:30;FBTP0621.NaE-last data 6720
2021-10-23;19:51:30;FBTP0621.NaE-last data 6720
2021-10-23;19:51:30;FBTP0621.NaE-last data 6721
2021-10-23;19:51:30;FBTP0621.NaE-last data 6721
2021-10-23;19:51:30;FBTP0621.NaE-last data 6721
2021-10-23;19:51:30;FBTP0621.NaE-last data 6721
2021-10-23;19:51:31;FBTP0621.NaE-last data 6722
2021-10-23;19:51:31;FBTP0621.NaE-last data 6722
2021-10-23;19:51:31;FBTP0621.NaE-last data 6722
2021-10-23;19:51:31;FBTP0621.NaE-last data 6722
2021-10-23;19:51:31;FBTP0621.NaE-last data 6723
2021-10-23;19:51:31;FBTP0621.NaE-last data 6723
2021-10-23;19:51:31;FBTP0621.NaE-last data 6723
2021-10-23;19:51:31;FBTP0621.NaE-last data 6723
2021-10-23;19:51:32;FBTP0621.NaE-last data 6724
2021-10-23;19:51:32;FBTP0621.NaE-last data 6724
2021-10-23;19:51:32;FBTP0621.NaE-last data 6724
2021-10-23;19:51:32;FBTP0621.NaE-last data 6724
2021-10-23;19:51:32;FBTP0621.NaE-last data 6725
2021-10-23;19:51:32;FBTP0621.NaE-last data 6725
2021-10-23;19:51:32;FBTP0621.NaE-last data 6725
2021-10-23;19:51:32;FBTP0621.NaE-last data 6725
2021-10-23;19:51:33;FBTP0621.NaE-last data 6726
2021-10-23;19:51:33;FBTP0621.NaE-last data 6726
2021-10-23;19:51:33;FBTP0621.NaE-last data 6726
2021-10-23;19:51:33;FBTP0621.NaE-last data 6726
2021-10-23;19:51:33;FBTP0621.NaE-last data 6727
2021-10-23;19:51:33;FBTP0621.NaE-last data 6727
2021-10-23;19:51:33;FBTP0621.NaE-last data 6727
2021-10-23;19:51:33;FBTP0621.NaE-last data 6727
2021-10-23;19:51:34;FBTP0621.NaE-last data 6728
2021-10-23;19:51:34;FBTP0621.NaE-last data 6728
2021-10-23;19:51:34;FBTP0621.NaE-last data 6728
2021-10-23;19:51:34;FBTP0621.NaE-last data 6728
2021-10-23;19:51:34;FBTP0621.NaE-last data 6729
2021-10-23;19:51:34;FBTP0621.NaE-last data 6729
2021-10-23;19:51:34;FBTP0621.NaE-last data 6729
2021-10-23;19:51:34;FBTP0621.NaE-last data 6729
2021-10-23;19:51:34;FBTP0621.NaE-last data 6729
2021-10-23;19:51:35;FBTP0621.NaE-last data 6730
2021-10-23;19:51:35;FBTP0621.NaE-last data 6730
2021-10-23;19:51:35;FBTP0621.NaE-last data 6730
2021-10-23;19:51:35;FBTP0621.NaE-last data 6730
2021-10-23;19:51:35;FBTP0621.NaE-last data 6730
2021-10-23;19:51:35;FBTP0621.NaE-last data 6731
2021-10-23;19:51:35;FBTP0621.NaE-last data 6731
2021-10-23;19:51:35;FBTP0621.NaE-last data 6731
2021-10-23;19:51:35;FBTP0621.NaE-last data 6731
2021-10-23;19:51:35;FBTP0621.NaE-last data 6731
2021-10-23;19:51:36;FBTP0621.NaE-last data 6732
2021-10-23;19:51:36;FBTP0621.NaE-last data 6732
2021-10-23;19:51:36;FBTP0621.NaE-last data 6732
2021-10-23;19:51:36;FBTP0621.NaE-last data 6732
2021-10-23;19:51:36;FBTP0621.NaE-last data 6732
2021-10-23;19:51:36;FBTP0621.NaE-last data 6733
2021-10-23;19:51:36;FBTP0621.NaE-last data 6733
2021-10-23;19:51:36;FBTP0621.NaE-last data 6733
2021-10-23;19:51:36;FBTP0621.NaE-last data 6733
2021-10-23;19:51:36;FBTP0621.NaE-last data 6733
2021-10-23;19:51:37;FBTP0621.NaE-last data 6734
2021-10-23;19:51:37;FBTP0621.NaE-last data 6734
2021-10-23;19:51:37;FBTP0621.NaE-last data 6734
2021-10-23;19:51:37;FBTP0621.NaE-last data 6734
2021-10-23;19:51:37;FBTP0621.NaE-last data 6734
2021-10-23;19:51:37;FBTP0621.NaE-last data 6735
2021-10-23;19:51:37;FBTP0621.NaE-last data 6735
2021-10-23;19:51:37;FBTP0621.NaE-last data 6735
2021-10-23;19:51:37;FBTP0621.NaE-last data 6735
2021-10-23;19:51:37;FBTP0621.NaE-last data 6735
2021-10-23;19:51:37;FBTP0621.NaE-last data 6735
2021-10-23;19:51:38;FBTP0621.NaE-last data 6736
2021-10-23;19:51:38;FBTP0621.NaE-last data 6736
2021-10-23;19:51:38;FBTP0621.NaE-last data 6736
2021-10-23;19:51:38;FBTP0621.NaE-last data 6736
2021-10-23;19:51:38;FBTP0621.NaE-last data 6736
2021-10-23;19:51:38;FBTP0621.NaE-last data 6736
2021-10-23;19:51:38;FBTP0621.NaE-last data 6737
2021-10-23;19:51:38;FBTP0621.NaE-last data 6737
2021-10-23;19:51:38;FBTP0621.NaE-last data 6737
2021-10-23;19:51:38;FBTP0621.NaE-last data 6737
2021-10-23;19:51:38;FBTP0621.NaE-last data 6737
2021-10-23;19:51:38;FBTP0621.NaE-last data 6737
2021-10-23;19:51:39;FBTP0621.NaE-last data 6738
2021-10-23;19:51:39;FBTP0621.NaE-last data 6738
2021-10-23;19:51:39;FBTP0621.NaE-last data 6738
2021-10-23;19:51:39;FBTP0621.NaE-last data 6738
2021-10-23;19:51:39;FBTP0621.NaE-last data 6738
2021-10-23;19:51:39;FBTP0621.NaE-last data 6738
2021-10-23;19:51:39;FBTP0621.NaE-last data 6739
2021-10-23;19:51:39;FBTP0621.NaE-last data 6739
2021-10-23;19:51:39;FBTP0621.NaE-last data 6739
2021-10-23;19:51:39;FBTP0621.NaE-last data 6739
2021-10-23;19:51:39;FBTP0621.NaE-last data 6739
2021-10-23;19:51:39;FBTP0621.NaE-last data 6739
2021-10-23;19:51:40;FBTP0621.NaE-last data 6740
2021-10-23;19:51:40;FBTP0621.NaE-last data 6740
2021-10-23;19:51:40;FBTP0621.NaE-last data 6740
2021-10-23;19:51:40;FBTP0621.NaE-last data 6740
2021-10-23;19:51:40;FBTP0621.NaE-last data 6740
2021-10-23;19:51:40;FBTP0621.NaE-last data 6740
